latitude,longitude,altitude,geometry,@id,addr:city,addr:housenumber,addr:province,addr:street,alt_name,amenity,beds,emergency,healthcare,healthcare:speciality,name,opening_hours,operator,operator:type,operator:wikidata,operator:wikipedia,phone,surrey:addrid,surrey:date,type,website,wheelchair,wikidata,wikipedia,@geometry,addr:postcode,full_name,ref,short_name,toilets:wheelchair,old_name,start_date,landuse,check_date,internet_access,internet_access:fee,addr:unit
49.1762543,-122.842832,,Point,relation/1280789,Surrey,13750,BC,96 Avenue,SMH,hospital,650,yes,hospital,emergency,Surrey Memorial Hospital,24/7,Fraser Health Authority,public,Q5493608,en:Fraser Health,+1-604-581-2211,19839,20020213,multipolygon,https://www.fraserhealth.ca/find-us/hospitals/surrey-memorial-hospital/,yes,Q7646827,en:Surrey Memorial Hospital,center,,,,,,,,,,,,
49.1688865,-123.1463279,,Point,relation/1731032,,7000,,Westminster Highway,,hospital,,yes,hospital,,Richmond General Hospital,24/7,Vancouver Coastal Health,public,,,+1-604-278-9711,,,multipolygon,https://www.vch.ca/en/location/richmond-hospital,yes,Q7330892,en:Richmond Hospital,center,,,,,,,,,,,,
49.2612202,-123.1221077,,Point,relation/17286359,Vancouver,899,BC,West 12th Avenue,,hospital,1900,yes,hospital,emergency,Vancouver General Hospital,,Vancouver Coastal Health,public,,,+1-604-875-4111,,,multipolygon,https://www.vch.ca/en/location/vancouver-general-hospital,yes,Q7914187,en:Vancouver General Hospital,center,V5Z 0A2,Vancouver General Hospital (VGH),VGH,VGH,,,,,,,,
49.3209784,-123.0676719,,Point,way/23811142,,231,,East 15th Street,,hospital,,yes,hospital,,Lions Gate Hospital,,Vancouver Coastal Health,public,,,+1-604-988-3131,,,,https://www.vch.ca/en/location/lions-gate-hospital,yes,Q96418816,en:Lions Gate Hospital,center,,,,,yes,,,,,,,
49.2851831,-122.8243716,,Point,way/41770711,,475,,Guildford Way,,hospital,,yes,hospital,,Eagle Ridge Hospital,,Fraser Health Authority,public,Q5493608,,+1-604-461-2022,,,,https://www.fraserhealth.ca/Service-Directory/Locations/Port-Moody/eagle-ridge-hospital,,,,center,,,,,,,,,,,,
49.2496764,-123.0154562,,Point,way/41839791,,3935,,Kincaid Street,,hospital,286,yes,hospital,emergency;general;internal;surgery;orthopaedics;gynaecology;urology;obstetrics;neonatal_intensive_care;tertiary_palliative;psychiatry;ambulatory,Burnaby Hospital,24/7,Fraser Health Authority,public,Q5493608,en:Fraser Health,+1-604-434-4211,,,,https://www.fraserhealth.ca/Service-Directory/Locations/Burnaby/burnaby-hospital#.YIrwo_lKjn0,yes,Q4999585,en:Burnaby Hospital,center,,,,,,Burnaby General Hospital,1952,,,,,
49.2265929,-122.8905833,,Point,way/41879302,,330,,East Columbia Street,,hospital,,yes,hospital,,Royal Columbian Hospital,,Fraser Health Authority,public,Q5493608,en:Fraser Health,+1-604-520-4253,,,,https://www.fraserhealth.ca/Service-Directory/Locations/New-Westminster/royal-columbian-hospital,,Q7373996,,center,,,,,,,,,,,,
49.2283846,-122.8112105,,Point,way/42504921,,,,,,hospital,,no,hospital,psychiatry,Forensic Psychiatric Hospital,,,,,,,,,,,,,,center,,,,,,,,,,,,
49.2806269,-123.1289158,,Point,way/51185697,Vancouver,1081,,Burrard Street,,hospital,,yes,hospital,,St. Paul's Hospital,24/7,Providence Health Care,public,,,+1-604-682-2344,,,,https://www.providencehealthcare.org/hospitals-residences/st-paul%27s-hospital,yes,Q7591153,en:St. Paul's Hospital (Vancouver),center,V6Z 1Y6,,,,,,,,,,,
49.0942805,-122.6119512,,Point,way/233309999,,22051,,Fraser Highway,,hospital,,yes,hospital,,Langley Memorial Hospital,,Fraser Health Authority,public,Q5493608,en:Fraser Health,+1-604-514-6000,,,,https://www.fraserhealth.ca/Service-Directory/Locations/Langley/langley-memorial-hospital,,Q17068624,,center,,,,,,,,institutional,,,,
49.2442391,-123.124124,,Point,way/259652372,,4500,,Oak Street,BCCW,hospital,,,hospital,,Children's & Women's Health Centre of British Columbia,,Provincial Health Services Authority,public,,,,,,,http://www.cw.bc.ca,,,,center,,,,C&W,,,,institutional,,,,
49.2582912,-123.094971,,Point,way/292380824,,3080,,Prince Edward Street,,hospital,,,hospital,,Mount Saint Joseph Hospital,,,,,,,,,,,,Q96419005,en:Mount Saint Joseph Hospital,center,,,,,,,,,,,,
